xmin,xmax,ymin,ymax,count,x_center,y_center
-122.77873305234374,-122.73594529218748,38.787776067187494,38.82703257773437,8,-122.7573391722656,38.80740432246093
-122.82152081249998,-122.77873305234374,38.82703257773437,38.86628908828125,3,-122.80012693242186,38.84666083300781
-122.77873305234374,-122.73594529218748,38.82703257773437,38.86628908828125,1,-122.7573391722656,38.84666083300781
-122.73594529218748,-122.65036977187498,38.787776067187494,38.86628908828125,1,-122.69315753203122,38.82703257773437
-122.47921873124999,-122.13691664999999,38.630750025,38.944802109375,2,-122.308067690625,38.787776067187494
-122.82152081249998,-122.47921873124999,38.944802109375,39.25885419375,1,-122.65036977187498,39.1018281515625
-123.50612497499999,-122.82152081249998,39.25885419375,39.886958362499996,10,-123.16382289375,39.572906278125
-122.82152081249998,-122.13691664999999,39.25885419375,39.886958362499996,2,-122.47921873124999,39.572906278125
-124.8753333,-124.53303121875,40.201010446874996,40.515062531249995,23,-124.70418225937499,40.3580364890625
-124.53303121875,-124.361880178125,40.201010446874996,40.3580364890625,23,-124.4474556984375,40.279523467968744
-124.361880178125,-124.1907291375,40.201010446874996,40.3580364890625,6,-124.2763046578125,40.279523467968744
-124.53303121875,-124.361880178125,40.3580364890625,40.515062531249995,5,-124.4474556984375,40.43654951015625
-124.361880178125,-124.1907291375,40.3580364890625,40.515062531249995,1,-124.2763046578125,40.43654951015625
-124.1907291375,-123.50612497499999,39.886958362499996,40.515062531249995,6,-123.84842705624999,40.201010446874996
-124.8753333,-124.1907291375,40.515062531249995,41.1431667,15,-124.53303121875,40.829114615625
-124.1907291375,-123.50612497499999,40.515062531249995,41.1431667,9,-123.84842705624999,40.829114615625
-123.50612497499999,-122.13691664999999,39.886958362499996,41.1431667,5,-122.82152081249998,40.515062531249995
-122.13691664999999,-120.767708325,38.630750025,39.886958362499996,1,-121.4523124875,39.25885419375
-120.767708325,-119.3985,38.630750025,39.886958362499996,18,-120.0831041625,39.25885419375
-122.13691664999999,-120.767708325,39.886958362499996,41.1431667,19,-121.4523124875,40.515062531249995
-120.767708325,-119.3985,39.886958362499996,41.1431667,8,-120.0831041625,40.515062531249995
-119.3985,-118.029291675,36.11833335,37.3745416875,6,-118.71389583749999,36.74643751875
-118.029291675,-117.3446875125,36.11833335,36.74643751875,22,-117.68698959375,36.432385434375
-117.3446875125,-116.66008335000001,36.11833335,36.74643751875,1,-117.00238543125,36.432385434375
-118.029291675,-117.3446875125,36.74643751875,37.3745416875,11,-117.68698959375,37.060489603125
-117.3446875125,-116.66008335000001,36.74643751875,37.3745416875,1,-117.00238543125,37.060489603125
-119.3985,-118.71389583749999,37.3745416875,38.00264585625,19,-119.05619791875,37.688593771875
-118.71389583749999,-118.029291675,37.3745416875,38.00264585625,7,-118.37159375625,37.688593771875
-119.05619791875,-118.71389583749999,38.00264585625,38.316697940625,2,-118.885046878125,38.159671898437495
-119.3985,-119.05619791875,38.316697940625,38.630750025,2,-119.227348959375,38.4737239828125
-119.05619791875,-118.885046878125,38.316697940625,38.4737239828125,14,-118.9706223984375,38.395210961718746
-118.885046878125,-118.7994713578125,38.316697940625,38.395210961718746,1,-118.84225911796875,38.35595445117187
-118.7994713578125,-118.71389583749999,38.316697940625,38.395210961718746,15,-118.75668359765623,38.35595445117187
-118.7994713578125,-118.71389583749999,38.395210961718746,38.4737239828125,11,-118.75668359765623,38.434467472265624
-118.71389583749999,-118.029291675,38.00264585625,38.630750025,23,-118.37159375625,38.316697940625
-118.029291675,-116.66008335000001,37.3745416875,38.630750025,6,-117.3446875125,38.00264585625
-116.66008335000001,-113.9216667,36.11833335,38.630750025,23,-115.290875025,37.3745416875
-119.3985,-116.66008335000001,38.630750025,41.1431667,22,-118.029291675,39.886958362499996
-116.66008335000001,-113.9216667,38.630750025,41.1431667,16,-115.290875025,39.886958362499996
